system:index,NDMI_mean,NDMI_p10,NDMI_p90,collectDOY,collectYear,fungal_diversity,latitude,longitude,plotID,precip_mm,precip_seasonality,soil_moisture,soil_pH,system:time_start,temp_celsius,temp_seasonality,.geo
4051,0.18985885381698608,0.18936237692832947,0.1903553307056427,190,2018,15,29.694993,-81.947419,OSBS_003,1313.953947,41,0.087,3.95,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-81.947419,29.694993]}"
4052,0.18985885381698608,0.18936237692832947,0.1903553307056427,190,2018,13,29.694993,-81.947419,OSBS_003,1313.953947,41,0.066,4.14,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-81.947419,29.694993]}"
4053,0.16313360631465912,0.16277877986431122,0.16348843276500702,190,2018,10,29.703861,-81.956817,OSBS_002,1313.953947,41,0.067,4.09,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-81.956817,29.703861]}"
4054,0.16313360631465912,0.16277877986431122,0.16348843276500702,190,2018,11,29.703861,-81.956817,OSBS_002,1313.953947,41,0.052,4.59,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-81.956817,29.703861]}"
4055,-0.00978816393762827,-0.010240796953439713,-0.009335529990494251,191,2018,11,29.693584,-81.992056,OSBS_026,1313.953947,41,0.061,4.22,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-81.992056,29.693584]}"
4056,-0.011385363526642323,-0.011428571306169033,-0.011342154815793037,191,2018,4,29.688969,-81.991102,OSBS_031,1313.953947,41,0.069,3.9,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-81.991102,29.688969]}"
4057,-0.011385363526642323,-0.011428571306169033,-0.011342154815793037,191,2018,3,29.688969,-81.991102,OSBS_031,1313.953947,41,0.073,4.19,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-81.991102,29.688969]}"
4058,-0.02434534579515457,-0.024938875809311867,-0.023751817643642426,191,2018,13,29.691969,-81.992063,OSBS_027,1313.953947,41,0.049,4.28,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-81.992063,29.691969]}"
4059,-0.011385363526642323,-0.011428571306169033,-0.011342154815793037,191,2018,2,29.688969,-81.991102,OSBS_031,1313.953947,41,0.078,3.89,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-81.991102,29.688969]}"
4060,-0.02434534579515457,-0.024938875809311867,-0.023751817643642426,191,2018,6,29.691969,-81.992063,OSBS_027,1313.953947,41,0.059,4.36,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-81.992063,29.691969]}"
4061,-0.1299155354499817,-0.12999150156974792,-0.12983956933021545,191,2018,4,29.692504,-81.989891,OSBS_029,1313.953947,41,0.042,4.38,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-81.989891,29.692504]}"
4062,-0.09619764238595963,-0.11175257712602615,-0.07089202105998993,127,2018,6,47.136134,-99.232896,WOOD_002,431,71,0.176,6.87,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.232896,47.136134]}"
4063,-0.09619764238595963,-0.11175257712602615,-0.07089202105998993,127,2018,8,47.136134,-99.232896,WOOD_002,431,71,0.213,6.88,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.232896,47.136134]}"
4064,-0.09619764238595963,-0.11175257712602615,-0.07089202105998993,127,2018,9,47.136134,-99.232896,WOOD_002,431,71,0.345,7.39,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.232896,47.136134]}"
4065,-0.012386824935674667,-0.1234998032450676,0.13921871781349182,127,2018,10,47.127465,-99.246302,WOOD_045,431,71,0.232,6.31,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.246302,47.127465]}"
4066,-0.012386824935674667,-0.1234998032450676,0.13921871781349182,127,2018,9,47.127465,-99.246302,WOOD_045,431,71,0.114,7.06,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.246302,47.127465]}"
4067,-0.012386824935674667,-0.1234998032450676,0.13921871781349182,127,2018,3,47.127465,-99.246302,WOOD_045,431,71,0.471,6.91,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.246302,47.127465]}"
4068,-0.00813364889472723,-0.07156824320554733,0.07126877456903458,128,2018,6,47.128258,-99.257768,WOOD_001,431,71,0.338,6.14,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.257768,47.128258]}"
4069,-0.00813364889472723,-0.07156824320554733,0.07126877456903458,128,2018,5,47.128258,-99.257768,WOOD_001,431,71,0.222,7.43,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.257768,47.128258]}"
4070,-0.00813364889472723,-0.07156824320554733,0.07126877456903458,128,2018,7,47.128258,-99.257768,WOOD_001,431,71,0.356,7.74,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.257768,47.128258]}"
4071,-0.015932628884911537,-0.08657732605934143,0.0675264224410057,128,2018,7,47.12584,-99.253801,WOOD_004,431,71,0.224,6.64,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.253801,47.12584]}"
4072,-0.015932628884911537,-0.08657732605934143,0.0675264224410057,128,2018,8,47.12584,-99.253801,WOOD_004,431,71,0.257,6.02,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.253801,47.12584]}"
4073,0.15913094580173492,0.05497675761580467,0.2284003496170044,128,2018,5,47.129092,-99.245921,WOOD_042,431,71,0.295,5.75,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.245921,47.129092]}"
