system:index,NBR_mean,NBR_p10,NBR_p90,NBR_stdDev,NDMI_mean,NDMI_p10,NDMI_p90,NDMI_stdDev,NDVI_mean,NDVI_p10,NDVI_p90,NDVI_stdDev,ND_GREEN_RED_mean,ND_GREEN_RED_p10,ND_GREEN_RED_p90,ND_GREEN_RED_stdDev,RED_SWIR_RATIO_mean,RED_SWIR_RATIO_p10,RED_SWIR_RATIO_p90,RED_SWIR_RATIO_stdDev,SAVI_mean,SAVI_p10,SAVI_p90,SAVI_stdDev,collectDOY,collectYear,fungal_diversity,latitude,longitude,plotID,precip_mm,precip_seasonality,soil_moisture,soil_pH,system:time_start,temp_celsius,temp_seasonality,.geo
4031,0.1536390632390976,0.1520618498325348,0.1552162915468216,0.0015772146585860249,0.025021841749548912,0.024054983630776405,0.02598869986832142,9.668588735511277E-4,0.5005519390106201,0.4909687936306,0.5101351141929626,0.009583166910752264,0.07367818057537079,0.06451612710952759,0.08284023404121399,0.009162053827066198,1.0513300218947095,1.0492957746478875,1.0533642691415315,0.0020342472468704575,0.08048468050657398,0.07996077732216084,0.08100858369098712,5.239031844136129E-4,80,2018,7,29.696568,-82.02558,OSBS_005,1313.953947,41,0.349,3.23,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-82.02558,29.696568]}"
4032,0.1536390632390976,0.1520618498325348,0.1552162915468216,0.0015772146585860249,0.025021841749548912,0.024054983630776405,0.02598869986832142,9.668588735511277E-4,0.5005519390106201,0.4909687936306,0.5101351141929626,0.009583166910752264,0.07367818057537079,0.06451612710952759,0.08284023404121399,0.009162053827066198,1.0513300218947095,1.0492957746478875,1.0533642691415315,0.0020342472468704575,0.08048468050657398,0.07996077732216084,0.08100858369098712,5.239031844136129E-4,80,2018,5,29.696568,-82.02558,OSBS_005,1313.953947,41,0.433,3.2,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-82.02558,29.696568]}"
4033,0.6356740593910217,0.6351280808448792,0.6362200379371643,5.459934086691724E-4,0.3752342760562897,0.37522125244140625,0.3752472996711731,1.303408113054819E-5,0.7989428043365479,0.7966685891151428,0.8012170195579529,0.0022742286322397,0.17657142877578735,0.17448857426643372,0.17865429818630219,0.0020828621765083565,2.2011999290289523,2.2011331444759206,2.2012667135819846,6.678456412005692E-5,0.4906692926205023,0.4905682622023108,0.4907703230386937,1.0103041795004043E-4,80,2018,9,29.702914,-82.008881,OSBS_001,1313.953947,41,0.11,2.99,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-82.008881,29.702914]}"
4034,0.6356740593910217,0.6351280808448792,0.6362200379371643,5.459934086691724E-4,0.3752342760562897,0.37522125244140625,0.3752472996711731,1.303408113054819E-5,0.7989428043365479,0.7966685891151428,0.8012170195579529,0.0022742286322397,0.17657142877578735,0.17448857426643372,0.17865429818630219,0.0020828621765083565,2.2011999290289523,2.2011331444759206,2.2012667135819846,6.678456412005692E-5,0.4906692926205023,0.4905682622023108,0.4907703230386937,1.0103041795004043E-4,80,2018,24,29.702914,-82.008881,OSBS_001,1313.953947,41,0.088,2.99,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-82.008881,29.702914]}"
4035,0.3488735556602478,0.3484320640563965,0.3493150770664215,4.415063720045785E-4,0.18511661887168884,0.1834862381219864,0.1867469847202301,0.001630374709845654,0.3513023257255554,0.3447099030017853,0.35789474844932556,0.006592419615593729,-0.130189448595047,-0.14733542501926422,-0.11304347962141037,0.01714597246831133,1.4543487307532255,1.4494382022471912,1.4592592592592595,0.004910528506033914,0.05458995655334798,0.05424274973147154,0.05493716337522442,3.472068218761881E-4,80,2018,8,29.689482,-81.960693,OSBS_022,1313.953947,41,0.401,3.64,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-81.960693,29.689482]}"
4036,0.3477477431297302,0.3463643491268158,0.34913110733032227,0.001383387248371571,0.16035343706607819,0.15998652577400208,0.1607203483581543,3.6691296529846855E-4,0.43726402521133423,0.4350000023841858,0.4395280182361603,0.0022640117994117393,-0.06423819065093994,-0.06827308982610703,-0.06020328402519226,0.00403490427699851,1.381955072741381,1.3809141940657579,1.382995951417004,0.0010408786756512405,0.2119073793717765,0.21162162162162168,0.21219313712193136,2.857577501700327E-4,80,2018,4,29.722597,-81.985527,OSBS_023,1313.953947,41,0.452,3.39,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-81.985527,29.722597]}"
4037,0.14646977186203003,0.14605483412742615,0.14688469469547272,4.1492538678719897E-4,-0.1299155354499817,-0.12999150156974792,-0.12983956933021545,7.596581539139557E-5,0.4506120979785919,0.4488857388496399,0.45233845710754395,0.001726352973887121,-0.13223214447498322,-0.13629630208015442,-0.128167986869812,0.0040641510445996775,0.7700438145724022,0.7699248120300752,0.7701628171147292,1.1900254245522375E-4,0.24340961977287753,0.24319662706017633,0.24362261248557873,2.129927127041241E-4,81,2018,7,29.692504,-81.989891,OSBS_029,1313.953947,41,0.054,4.56,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-81.989891,29.692504]}"
4038,0.14646977186203003,0.14605483412742615,0.14688469469547272,4.1492538678719897E-4,-0.1299155354499817,-0.12999150156974792,-0.12983956933021545,7.596581539139557E-5,0.4506120979785919,0.4488857388496399,0.45233845710754395,0.001726352973887121,-0.13223214447498322,-0.13629630208015442,-0.128167986869812,0.0040641510445996775,0.7700438145724022,0.7699248120300752,0.7701628171147292,1.1900254245522375E-4,0.24340961977287753,0.24319662706017633,0.24362261248557873,2.129927127041241E-4,81,2018,5,29.692504,-81.989891,OSBS_029,1313.953947,41,0.053,4.44,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-81.989891,29.692504]}"
4039,0.14646977186203003,0.14605483412742615,0.14688469469547272,4.1492538678719897E-4,-0.1299155354499817,-0.12999150156974792,-0.12983956933021545,7.596581539139557E-5,0.4506120979785919,0.4488857388496399,0.45233845710754395,0.001726352973887121,-0.13223214447498322,-0.13629630208015442,-0.128167986869812,0.0040641510445996775,0.7700438145724022,0.7699248120300752,0.7701628171147292,1.1900254245522375E-4,0.24340961977287753,0.24319662706017633,0.24362261248557873,2.129927127041241E-4,81,2018,4,29.692504,-81.989891,OSBS_029,1313.953947,41,0.053,4.1,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-81.989891,29.692504]}"
4040,0.5094011425971985,0.5089430809020996,0.5098591446876526,4.58032749260383E-4,0.18985885381698608,0.18936237692832947,0.1903553307056427,4.964730489487305E-4,0.7484239339828491,0.7475547194480896,0.7492931485176086,8.691960857807176E-4,0.2055789679288864,0.20239880681037903,0.2087591290473938,0.003180161743946004,1.4687065558130028,1.4671936758893283,1.4702194357366771,0.001512879923449205,0.3358662338101694,0.33487784330244313,0.33685462431789565,9.883905077237571E-4,81,2018,3,29.694993,-81.947419,OSBS_003,1313.953947,41,0.072,4.22,2018-01-01T00:00:00,20.28092105,53.00914474,"{""type"":""Point"",""coordinates"":[-81.947419,29.694993]}"
